ranking,word,count
202,working,2939
203,must,2938
204,methane,2929
205,production,2925
206,mean,2920
É,É,É
567,sector,1593
568,rather,1584
569,agriculture,1584
570,happen,1583
571,difficult,1582
É,É,É
689,investors,1361
690,year's,1359
691,meat,1357
692,council,1356
693,watters,1356
É,É,É
699,responsible,1346
700,jones,1346
701,farm,1346
702,tree,1344
703,billions,1340
É,É,É
707,fahrenheit,1337
708,anything,1335
709,fish,1333
710,cover,1332
711,country's,1329
É,É,É
1318,brazil,736
1319,value,736
1320,animal,736
1321,unprecedented,735
1322,showed,735
É,É,É
1371,worried,706
1372,contribute,706
1373,dairy,706
1374,deforestation,705
1375,fishing,705
É,É,É
1539,advocacy,623
1540,firms,623
1541,cows,623
1542,linked,623
1543,landscape,622
É,É,É
1555,child,620
1556,heart,620
1557,beef,620
1558,promised,619
1559,conflict,619
É,É,É
1571,art,612
1572,pledges,612
1573,cattle,611
1574,double,610
1575,date,610
É,É,É
1738,battle,551
1739,entirely,551
1740,livestock,551
1741,exposed,551
1742,interesting,551
É,É,É
1890,learned,499
1891,generated,498
1892,plant-based,498
1893,youth,498
1894,views,497
É,É,É
2576,beaches,351
2577,weir,351
2578,chicken,350
2579,catch,350
2580,relations,350
É,É,É
3154,stood,265
3155,stoves,265
3156,cow,265
3157,extended,264
3158,suddenly,264
É,É,É
4272,choosing,180
4273,earnings,180
4274,vegan,180
4275,seawater,180
4276,donors,180
É,É,É
4830,links,152
4831,dinah,152
4832,pork,152
4833,sheep,152
4834,advocating,152
É,É,É
6025,demonstrations,110
6026,sentiment,110
6027,seafood,110
6028,addresses,110
6029,gang,110
É,É,É
6476,silicon,98
6477,internationally,98
6478,poultry,98
6479,cheapest,98
6480,taxing,98
É,É,É
7056,minus,86
7057,pfas,86
7058,vegetarian,86
7059,u.a.e,86
7060,automatically,85
É,É,É
7377,lessen,80
7378,presentation,80
7379,lamb,80
7380,transporting,80
7381,confusing,80